,embedder,job_name,task,diff_score,all_probe_sim,pos_probe_sim,num_unique_probes,avg_num_relata,num_pos
452,sg,hawkins_2019-02-13-09-43-28_num2,features_is,-0.007950034476746248,-0.0026017838144915565,0.04393949835244545,421,6.328719723183391,6.328719723183391
455,sg,hawkins_2019-02-13-09-43-28_num2,cohyponyms_syntactic,0.010290789815354695,0.0232555025,0.05665801655849812,830,160.12274368231047,160.12274368231047
458,sg,hawkins_2019-02-13-09-43-28_num2,nyms_syn_jw,-0.06590966446245183,0.04296100618989426,0.11757797266905078,236,5.755485893416928,5.755485893416928
461,sg,hawkins_2019-02-13-09-43-28_num2,hypernyms,-0.03421974850545506,0.010005866021733369,0.2004720410032542,563,1.0,1.0
464,sg,hawkins_2019-02-13-09-43-28_num2,events,0.0505190867815728,-0.0070651712740384615,0.055533263716626514,359,15.0625,15.0625
467,sg,hawkins_2019-02-13-09-43-28_num2,nyms_ant_jw,-0.08602723929853295,0.04107372872706295,0.13071000417705347,181,4.465863453815261,4.465863453815261
470,sg,hawkins_2019-02-13-09-43-28_num2,features_has,-0.052615699146748796,0.012558292292317941,0.09417721572632648,532,6.781376518218623,6.781376518218623
513,sg,hawkins_2019-02-13-09-43-28_num1,cohyponyms_semantic,-0.0004419520290667167,0.013231973091261767,0.15333706212524462,569,25.026362038664324,25.026362038664324
516,sg,hawkins_2019-02-13-09-43-28_num1,features_is,-0.017039469426902043,-0.002574532355523421,0.04396465565020099,421,6.328719723183391,6.328719723183391
519,sg,hawkins_2019-02-13-09-43-28_num1,cohyponyms_syntactic,-0.0020386578796598442,0.022796544361111108,0.05595048959411425,830,160.12274368231047,160.12274368231047
522,sg,hawkins_2019-02-13-09-43-28_num1,nyms_syn_jw,-0.05867371519634257,0.04278344282981777,0.11833179337250178,236,5.755485893416928,5.755485893416928
525,sg,hawkins_2019-02-13-09-43-28_num1,hypernyms,-0.017453446024869423,0.009073203684071031,0.19816460983251794,563,1.0,1.0
528,sg,hawkins_2019-02-13-09-43-28_num1,events,0.04922514548881041,-0.006219612713675214,0.057824530162099826,359,15.0625,15.0625
531,sg,hawkins_2019-02-13-09-43-28_num1,nyms_ant_jw,-0.10406024380934598,0.04117301493265881,0.13007098214836513,181,4.465863453815261,4.465863453815261
534,sg,hawkins_2019-02-13-09-43-28_num1,features_has,-0.054222039572355385,0.012376702839132885,0.09337309052525619,532,6.781376518218623,6.781376518218623
769,wd,hinton_2019-02-13-09-43-30_num0,cohyponyms_semantic,-0.003736920393377585,0.005094458257788925,0.06114954834731618,569,25.026362038664324,25.026362038664324
772,wd,hinton_2019-02-13-09-43-30_num0,features_is,0.019055743862678276,-0.0006504198729535713,0.014855100422585686,421,6.328719723183391,6.328719723183391
775,wd,hinton_2019-02-13-09-43-30_num0,cohyponyms_syntactic,0.029847841595673552,0.006252828083333334,0.01433542612161941,830,160.12274368231047,160.12274368231047
778,wd,hinton_2019-02-13-09-43-30_num0,nyms_syn_jw,-0.041027860575352904,0.009887501195473141,0.03603728016267283,236,5.755485893416928,5.755485893416928
781,wd,hinton_2019-02-13-09-43-30_num0,hypernyms,-0.026351954923386156,0.0034029035250463828,0.10000569994953819,563,1.0,1.0
784,wd,hinton_2019-02-13-09-43-30_num0,events,0.0654341329245971,-0.0006816122462606837,0.02665321436475307,359,15.0625,15.0625
787,wd,hinton_2019-02-13-09-43-30_num0,nyms_ant_jw,-0.02843400427306253,0.009792792163127648,0.033629099400163454,181,4.465863453815261,4.465863453815261
790,wd,hinton_2019-02-13-09-43-30_num0,features_has,-0.016716421818791183,0.002016906293240404,0.038755571704462775,532,6.781376518218623,6.781376518218623
833,wd,hinton_2019-02-13-09-43-30_num2,cohyponyms_semantic,-0.0029875051316154977,0.005094458257788925,0.06114954834731618,569,25.026362038664324,25.026362038664324
836,wd,hinton_2019-02-13-09-43-30_num2,features_is,0.010355323516488824,-0.0006504198729535713,0.014855100422585686,421,6.328719723183391,6.328719723183391
839,wd,hinton_2019-02-13-09-43-30_num2,cohyponyms_syntactic,0.03011309854730504,0.006252828083333334,0.01433542612161941,830,160.12274368231047,160.12274368231047
842,wd,hinton_2019-02-13-09-43-30_num2,nyms_syn_jw,-0.03827286316075418,0.009887501195473141,0.03603728016267283,236,5.755485893416928,5.755485893416928
845,wd,hinton_2019-02-13-09-43-30_num2,hypernyms,-0.020614306328583965,0.0034029035250463828,0.10000569994953819,563,1.0,1.0
848,wd,hinton_2019-02-13-09-43-30_num2,events,0.06480641074692595,-0.0006816122462606837,0.02665321436475307,359,15.0625,15.0625
851,wd,hinton_2019-02-13-09-43-30_num2,nyms_ant_jw,-0.03796400496126462,0.009792792163127648,0.033629099400163454,181,4.465863453815261,4.465863453815261
854,wd,hinton_2019-02-13-09-43-30_num2,features_has,-0.02210731956306855,0.002016906293240404,0.038755571704462775,532,6.781376518218623,6.781376518218623
897,wd,hinton_2019-02-13-09-43-30_num1,cohyponyms_semantic,-0.0036516598690424784,0.005094458257788925,0.06114954834731618,569,25.026362038664324,25.026362038664324
900,wd,hinton_2019-02-13-09-43-30_num1,features_is,0.01403022789802466,-0.0006504198729535713,0.014855100422585686,421,6.328719723183391,6.328719723183391
903,wd,hinton_2019-02-13-09-43-30_num1,cohyponyms_syntactic,0.030042993044887,0.006252828083333334,0.01433542612161941,830,160.12274368231047,160.12274368231047
906,wd,hinton_2019-02-13-09-43-30_num1,nyms_syn_jw,-0.04305665118954871,0.009887501195473141,0.03603728016267283,236,5.755485893416928,5.755485893416928
