arch,corpus,embed_size,embedder,evaluation,job_name,neg_pos_ratio,num_epochs,num_vocab,param_name,regime,score,standardize,task
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,0.0,16384,param_4,expert,0.5098039215686274,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,100.0,16384,param_4,expert,0.6617151911269559,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,200.0,16384,param_4,expert,0.6611210140621905,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,300.0,16384,param_4,expert,0.6595365418894831,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,400.0,16384,param_4,expert,0.6593384828678946,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,500.0,16384,param_4,expert,0.6587443058031294,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,600.0,16384,param_4,expert,0.6589423648247178,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,700.0,16384,param_4,expert,0.6591404238463062,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,800.0,16384,param_4,expert,0.6595365418894831,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,900.0,16384,param_4,expert,0.6593384828678946,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1000.0,16384,param_4,expert,0.6597346009110715,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1100.0,16384,param_4,expert,0.6595365418894831,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1200.0,16384,param_4,expert,0.6597346009110715,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1300.0,16384,param_4,expert,0.6591404238463062,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1400.0,16384,param_4,expert,0.6591404238463062,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1500.0,16384,param_4,expert,0.6587443058031294,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1600.0,16384,param_4,expert,0.6589423648247178,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1700.0,16384,param_4,expert,0.6585462467815411,1.0,nyms_syn_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1800.0,16384,param_4,expert,0.6585462467815411,1.0,nyms_syn_jw
